iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population
SEN,Africa,Senegal,2022-06-27,86275.0,0.0,1968.0,0.0,,,,,,,,,,,13.89,82.33,2470.58,,67.94,0.51,17316452
TUR,Asia,Turkey,2022-04-29,15016270.0,0.0,98705.0,0.0,159196369.0,127095.0,0.02,55.8,tests performed,147495274.0,57818414.0,53034037.0,36642823.0,12601.0,13.89,104.91,25129.34,2.81,77.69,0.82,85341248
IRL,Europe,Ireland,2023-07-29,1714484.0,0.0,9107.0,0.0,,,,,,,,,,,,69.87,67335.29,2.96,82.3,0.96,5023108
BRA,South America,Brazil,2022-03-22,29573112.0,0.0,656798.0,0.0,,,,,,408961974.0,180523619.0,159240417.0,74304721.0,613944.0,34.67,25.04,14103.45,2.2,75.88,0.76,215313504
SDN,Africa,Sudan,2024-06-28,63993.0,0.0,5046.0,0.0,,,,,,,,,,,,23.26,4466.51,0.8,65.31,0.51,46874200
BMU,North America,Bermuda,2023-04-16,18860.0,0.0,165.0,0.0,,,,,,,,,,,,1308.82,50669.32,,82.59,,64207
PRK,Asia,North Korea,2023-11-30,0.0,0.0,0.0,0.0,,,,,,,,,,,,211.7,,13.2,72.27,,26069416
DMA,North America,Dominica,2022-04-23,11988.0,0.0,63.0,0.0,,,0.02,64.8,tests performed,,,,,,32.41,98.57,9673.37,3.8,75.0,0.74,72758
KIR,Oceania,Kiribati,2020-10-20,0.0,0.0,0.0,0.0,,,,,,,,,,,22.22,143.7,1981.13,1.9,68.37,0.63,131237
NZL,Oceania,New Zealand,2024-07-31,2637318.0,0.0,4268.0,0.0,,,,,,,,,,,,18.21,36085.84,2.61,82.29,0.93,5185289
UKR,Europe,Ukraine,2021-01-04,1037359.0,0.0,16532.0,0.0,,,0.36,2.8,tests performed,,,,,,54.63,77.39,7894.39,8.8,72.06,0.78,39701744
GLP,North America,Guadeloupe,2023-12-10,203235.0,0.0,1021.0,0.0,,,,,,,,,,,,,,,82.14,,395762
JEY,Europe,Jersey,2022-07-05,54478.0,0.0,131.0,0.0,,,,,,,,,,,,,,,,,110796
CHN,Asia,China,2021-08-27,122698.0,0.0,5676.0,0.0,,,0.0,366628.2,tests performed,2019549000.0,,,,15635000.0,79.17,147.67,15308.71,4.34,76.91,0.76,1425887360
GGY,Europe,Guernsey,2023-07-01,35326.0,0.0,67.0,0.0,,,,,,,,,,,,,,,,,63329
SWZ,Africa,Eswatini,2022-05-09,71089.0,0.0,1400.0,0.0,,,0.17,5.9,tests performed,,,,,,23.15,79.49,7738.98,2.1,60.19,0.61,1201680
FLK,South America,Falkland Islands,2021-12-19,81.0,1.0,0.0,0.0,,,,,,,,,,,,,,,81.44,,3801
SUR,South America,Suriname,2020-10-07,4899.0,0.0,105.0,0.0,,,,,tests performed,,,,,,57.41,3.61,13767.12,3.1,71.68,0.74,618046
KGZ,Asia,Kyrgyzstan,2020-09-12,0.0,0.0,0.0,0.0,,,,,,,,,,,69.91,32.33,3393.47,4.5,71.45,0.7,6630621
WSM,Oceania,Samoa,2023-10-08,16778.0,0.0,31.0,0.0,,,,,,,,,,,,69.41,6021.56,,73.32,0.72,222390
HTI,North America,Haiti,2024-03-17,34376.0,3.0,860.0,0.0,,,,,,,,,,,,398.45,1653.17,0.7,64.0,0.51,11585003
SLB,Oceania,Solomon Islands,2023-12-14,25954.0,0.0,199.0,0.0,,,,,,,,,,,,21.84,2205.92,1.4,73.0,0.57,724272
NLD,Europe,Netherlands,2022-05-22,8078030.0,7561.0,22310.0,13.0,30607778.0,1025.0,0.52,1.9,tests performed,,,,,,15.67,508.54,48472.54,3.32,82.28,0.94,17564020
HKG,Asia,Hong Kong,2023-08-05,,,,,,,,,,20839172.0,6917075.0,6801070.0,7121027.0,194.0,,7039.71,56054.92,,84.86,0.95,7488863
GUF,South America,French Guiana,2023-11-28,98041.0,0.0,413.0,0.0,,,,,,,,,,,,,,,79.95,,304568
SYR,Asia,Syria,2023-04-12,57423.0,0.0,3163.0,0.0,,,,,,,,,,,,,,1.5,72.7,0.57,22125242
TUR,Asia,Turkey,2024-02-07,17004705.0,0.0,101419.0,0.0,,,,,,,,,,,,104.91,25129.34,2.81,77.69,0.82,85341248
GIN,Africa,Guinea,2023-10-16,38566.0,0.0,468.0,0.0,,,,,,,,,,,,51.76,1998.93,0.3,61.6,0.48,13859349
TTO,North America,Trinidad and Tobago,2021-02-19,7637.0,0.0,137.0,0.0,93153.0,,0.01,125.0,people tested,,,,,,64.81,266.89,28763.07,3.0,73.51,0.8,1531043
MWI,Africa,Malawi,2020-03-18,0.0,0.0,0.0,0.0,,,,,,,,,,,11.11,197.52,1095.04,1.3,64.26,0.48,20405318
MRT,Africa,Mauritania,2022-03-27,58666.0,4.0,982.0,1.0,,,0.0,865.1,tests performed,,,,,,49.99,4.29,3597.63,,64.92,0.55,4736146
